step,time,loss,acc
50,2019-05-06T16:32:36.980650,3.365458e-01,8.906250e-01
100,2019-05-06T16:32:38.710076,2.719079e-01,8.984375e-01
150,2019-05-06T16:32:40.441346,3.298745e-01,8.906250e-01
200,2019-05-06T16:32:42.170986,2.790301e-01,8.593750e-01
250,2019-05-06T16:32:43.916515,1.923463e-01,9.453125e-01
300,2019-05-06T16:32:45.656107,2.278751e-01,9.062500e-01
350,2019-05-06T16:32:47.399929,1.177418e-01,9.609375e-01
400,2019-05-06T16:32:49.142358,1.852742e-01,9.296875e-01
450,2019-05-06T16:32:50.889368,1.770044e-01,9.296875e-01
500,2019-05-06T16:32:52.660712,1.924082e-01,9.296875e-01
550,2019-05-06T16:32:54.699566,1.685679e-01,9.609375e-01
600,2019-05-06T16:32:56.500642,2.450512e-01,8.984375e-01
650,2019-05-06T16:32:58.317944,1.513544e-01,9.453125e-01
700,2019-05-06T16:33:00.115932,1.385202e-01,9.375000e-01
750,2019-05-06T16:33:01.930331,1.366577e-01,9.609375e-01
800,2019-05-06T16:33:03.723122,1.579518e-01,9.531250e-01
850,2019-05-06T16:33:05.514727,2.497215e-01,9.140625e-01
900,2019-05-06T16:33:07.301241,8.285563e-02,9.687500e-01
950,2019-05-06T16:33:09.128435,6.058377e-02,9.843750e-01
1000,2019-05-06T16:33:10.962698,1.146201e-01,9.609375e-01
1050,2019-05-06T16:33:12.920700,9.670289e-02,9.687500e-01
1100,2019-05-06T16:33:14.730630,8.566365e-02,9.531250e-01
1150,2019-05-06T16:33:16.528024,9.547631e-02,9.687500e-01
1200,2019-05-06T16:33:18.346596,1.459510e-01,9.531250e-01
1250,2019-05-06T16:33:20.201763,1.638204e-01,9.218750e-01
1300,2019-05-06T16:33:22.049244,1.260570e-01,9.609375e-01
1350,2019-05-06T16:33:23.917758,1.349049e-01,9.609375e-01
1400,2019-05-06T16:33:25.768494,1.501945e-01,9.453125e-01
1450,2019-05-06T16:33:27.626579,7.529418e-02,9.843750e-01
1500,2019-05-06T16:33:29.467079,4.929003e-02,9.843750e-01
1550,2019-05-06T16:33:31.397490,5.956031e-02,9.765625e-01
1600,2019-05-06T16:33:33.225462,1.625072e-01,9.531250e-01
1650,2019-05-06T16:33:35.051809,1.297139e-01,9.453125e-01
1700,2019-05-06T16:33:36.877891,1.614228e-01,9.531250e-01
1750,2019-05-06T16:33:38.711749,1.544934e-01,9.609375e-01
1800,2019-05-06T16:33:40.549505,1.433590e-01,9.531250e-01
1850,2019-05-06T16:33:42.397010,1.092662e-01,9.453125e-01
1900,2019-05-06T16:33:44.235270,7.562359e-02,9.687500e-01
1950,2019-05-06T16:33:46.067815,1.260379e-01,9.531250e-01
2000,2019-05-06T16:33:47.897596,8.062261e-02,9.765625e-01
2050,2019-05-06T16:33:49.835014,1.079262e-01,9.531250e-01
2100,2019-05-06T16:33:51.655333,5.680172e-02,9.843750e-01
2150,2019-05-06T16:33:53.476934,5.522131e-02,9.921875e-01
2200,2019-05-06T16:33:55.297890,9.422866e-02,9.609375e-01
2250,2019-05-06T16:33:57.108886,2.349977e-02,9.921875e-01
2300,2019-05-06T16:33:58.926422,1.297802e-01,9.531250e-01
2350,2019-05-06T16:34:00.748684,2.807653e-02,9.921875e-01
2400,2019-05-06T16:34:02.558188,1.592565e-01,9.609375e-01
2450,2019-05-06T16:34:04.358128,1.290079e-01,9.531250e-01
2500,2019-05-06T16:34:06.166305,4.386900e-02,9.765625e-01
2550,2019-05-06T16:34:08.096374,5.076841e-02,9.765625e-01
2600,2019-05-06T16:34:09.908958,1.005202e-01,9.687500e-01
2650,2019-05-06T16:34:11.707036,1.261439e-02,1.000000e+00
2700,2019-05-06T16:34:13.515882,8.606069e-02,9.609375e-01
2750,2019-05-06T16:34:15.345008,1.043475e-01,9.765625e-01
2800,2019-05-06T16:34:17.180960,5.259532e-02,9.765625e-01
2850,2019-05-06T16:34:19.012101,1.627243e-01,9.609375e-01
2900,2019-05-06T16:34:20.843216,2.696472e-02,9.843750e-01
2950,2019-05-06T16:34:22.669246,9.125281e-02,9.531250e-01
3000,2019-05-06T16:34:24.484179,7.595614e-02,9.609375e-01
3050,2019-05-06T16:34:26.409049,8.862600e-02,9.531250e-01
3100,2019-05-06T16:34:28.208486,1.351255e-01,9.609375e-01
3150,2019-05-06T16:34:30.001659,1.330687e-01,9.609375e-01
3200,2019-05-06T16:34:31.807868,9.684736e-02,9.609375e-01
3250,2019-05-06T16:34:33.604446,4.207758e-02,9.843750e-01
3300,2019-05-06T16:34:35.398495,6.190886e-02,9.921875e-01
3350,2019-05-06T16:34:37.198898,4.006129e-02,9.843750e-01
3400,2019-05-06T16:34:38.994161,9.885819e-02,9.687500e-01
3450,2019-05-06T16:34:40.789620,2.921591e-02,9.843750e-01
3500,2019-05-06T16:34:42.589646,9.739727e-02,9.765625e-01
3550,2019-05-06T16:34:44.517017,8.352801e-02,9.765625e-01
3600,2019-05-06T16:34:46.314988,3.189542e-02,1.000000e+00
3650,2019-05-06T16:34:48.119260,8.110475e-02,9.687500e-01
3700,2019-05-06T16:34:49.920982,5.429877e-02,9.687500e-01
3750,2019-05-06T16:34:51.733384,1.928902e-02,1.000000e+00
3800,2019-05-06T16:34:53.539478,5.259245e-02,9.843750e-01
3850,2019-05-06T16:34:55.353493,1.467919e-02,1.000000e+00
3900,2019-05-06T16:34:57.159697,7.336967e-02,9.687500e-01
3950,2019-05-06T16:34:58.972809,1.179456e-01,9.453125e-01
4000,2019-05-06T16:35:00.771011,5.262338e-02,9.843750e-01
4050,2019-05-06T16:35:02.624894,3.530535e-02,9.921875e-01
4100,2019-05-06T16:35:04.433215,2.046069e-02,9.921875e-01
4150,2019-05-06T16:35:06.236598,4.733771e-02,9.921875e-01
4200,2019-05-06T16:35:08.042492,8.511146e-02,9.687500e-01
4250,2019-05-06T16:35:09.845861,1.032850e-01,9.609375e-01
4300,2019-05-06T16:35:11.655892,2.002984e-02,1.000000e+00
4350,2019-05-06T16:35:15.769462,4.099649e-02,9.843750e-01
4400,2019-05-06T16:35:17.573509,2.622299e-02,1.000000e+00
4450,2019-05-06T16:35:19.374941,7.974003e-02,9.687500e-01
4500,2019-05-06T16:35:21.188879,6.291299e-02,9.843750e-01
4550,2019-05-06T16:35:23.047649,1.071661e-01,9.765625e-01
4600,2019-05-06T16:35:24.867433,7.983561e-02,9.609375e-01
4650,2019-05-06T16:35:26.677142,4.872012e-02,9.843750e-01
4700,2019-05-06T16:35:28.486373,8.814400e-02,9.765625e-01
4750,2019-05-06T16:35:30.290972,8.007928e-02,9.765625e-01
4800,2019-05-06T16:35:32.098549,3.654119e-02,9.843750e-01
4850,2019-05-06T16:35:33.901811,7.288218e-02,9.843750e-01
4900,2019-05-06T16:35:35.735759,1.392361e-02,1.000000e+00
4950,2019-05-06T16:35:37.568507,3.061492e-02,9.921875e-01
5000,2019-05-06T16:35:39.396574,4.815177e-02,9.843750e-01
5050,2019-05-06T16:35:41.360544,8.152977e-02,9.687500e-01
5100,2019-05-06T16:35:43.203209,8.574133e-02,9.765625e-01
5150,2019-05-06T16:35:45.021628,1.879756e-02,9.843750e-01
5200,2019-05-06T16:35:46.826104,4.305319e-02,9.843750e-01
5250,2019-05-06T16:35:48.631647,6.976680e-02,9.765625e-01
5300,2019-05-06T16:35:50.442166,2.005007e-02,9.921875e-01
5350,2019-05-06T16:35:52.240067,2.957876e-02,9.843750e-01
5400,2019-05-06T16:35:54.047578,3.185934e-02,9.843750e-01
5450,2019-05-06T16:35:55.854673,3.713132e-02,9.921875e-01
5500,2019-05-06T16:35:57.670100,1.780600e-02,9.921875e-01
5550,2019-05-06T16:35:59.589933,2.184500e-02,9.921875e-01
5600,2019-05-06T16:36:01.392023,1.909059e-02,9.921875e-01
5650,2019-05-06T16:36:03.208705,3.329810e-02,9.765625e-01
5700,2019-05-06T16:36:05.018720,9.011785e-03,1.000000e+00
5750,2019-05-06T16:36:06.819578,5.172955e-02,9.765625e-01
5800,2019-05-06T16:36:08.632401,1.954339e-02,1.000000e+00
5850,2019-05-06T16:36:10.433921,8.584799e-02,9.687500e-01
5900,2019-05-06T16:36:12.236061,6.467620e-02,9.765625e-01
5950,2019-05-06T16:36:14.048477,2.900912e-02,9.921875e-01
6000,2019-05-06T16:36:15.851515,3.334056e-02,9.843750e-01
6050,2019-05-06T16:36:17.704224,9.450799e-02,9.765625e-01
6100,2019-05-06T16:36:19.506623,2.927125e-02,9.843750e-01
6150,2019-05-06T16:36:21.313242,4.175542e-02,9.921875e-01
6200,2019-05-06T16:36:23.110386,4.158300e-02,9.843750e-01
6250,2019-05-06T16:36:24.919993,4.791218e-02,9.765625e-01
6300,2019-05-06T16:36:26.725722,9.656644e-02,9.687500e-01
6350,2019-05-06T16:36:28.528324,7.033807e-02,9.843750e-01
6400,2019-05-06T16:36:30.334021,4.336753e-02,9.765625e-01
6450,2019-05-06T16:36:32.142497,4.367022e-02,9.921875e-01
6500,2019-05-06T16:36:33.947991,3.323540e-02,9.921875e-01
6550,2019-05-06T16:36:35.810052,9.588400e-02,9.687500e-01
6600,2019-05-06T16:36:37.612657,4.556496e-02,9.765625e-01
6650,2019-05-06T16:36:39.418135,4.965879e-02,9.921875e-01
6700,2019-05-06T16:36:41.228166,9.463512e-03,1.000000e+00
6750,2019-05-06T16:36:43.028073,4.449929e-02,9.687500e-01
6800,2019-05-06T16:36:44.834065,3.615697e-02,9.843750e-01
6850,2019-05-06T16:36:46.646487,4.048202e-02,9.843750e-01
6900,2019-05-06T16:36:48.452369,1.033905e-02,1.000000e+00
6950,2019-05-06T16:36:50.254877,3.520746e-03,1.000000e+00
7000,2019-05-06T16:36:52.057613,1.704283e-02,9.921875e-01
7050,2019-05-06T16:36:53.916481,2.832166e-02,9.921875e-01
7100,2019-05-06T16:36:55.747838,2.507622e-02,9.921875e-01
7150,2019-05-06T16:36:57.593198,4.094879e-02,9.765625e-01
7200,2019-05-06T16:36:59.421814,3.680890e-02,9.921875e-01
7250,2019-05-06T16:37:01.251984,1.811235e-02,9.921875e-01
7300,2019-05-06T16:37:03.085380,8.510065e-03,1.000000e+00
7350,2019-05-06T16:37:04.916352,1.502102e-02,1.000000e+00
7400,2019-05-06T16:37:06.720500,2.813576e-02,9.921875e-01
7450,2019-05-06T16:37:08.520018,4.806487e-02,9.843750e-01
7500,2019-05-06T16:37:10.319526,3.680653e-02,9.843750e-01
7550,2019-05-06T16:37:12.175387,8.435079e-03,1.000000e+00
7600,2019-05-06T16:37:13.983053,7.425788e-03,1.000000e+00
7650,2019-05-06T16:37:15.792769,8.190134e-02,9.843750e-01
7700,2019-05-06T16:37:17.598041,1.565461e-02,1.000000e+00
7750,2019-05-06T16:37:19.399087,3.598567e-02,9.843750e-01
7800,2019-05-06T16:37:21.207675,2.704183e-02,9.921875e-01
7850,2019-05-06T16:37:23.016047,1.007039e-02,1.000000e+00
7900,2019-05-06T16:37:24.823506,1.693277e-02,9.921875e-01
